epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16608.1,0.73254,0.51931,1.08132,0.74093,0.7249,0.78642,0.57897,1.03096,0.97489,1.41822,0.000492625,0.000492625,0.000492625
43,17013.9,0.71576,0.515,1.07991,0.7247,0.74927,0.79118,0.58027,1.04759,0.95004,1.44701,0.00048025,0.00048025,0.00048025
44,17360.9,0.70884,0.49443,1.0676,0.77109,0.70154,0.77912,0.57755,1.02986,0.98926,1.42168,0.000467875,0.000467875,0.000467875
45,17679.2,0.69086,0.48455,1.05605,0.75123,0.72991,0.79384,0.58548,1.02646,0.97596,1.41257,0.0004555,0.0004555,0.0004555
46,18119.4,0.69083,0.48397,1.05516,0.71797,0.76473,0.78445,0.58056,1.04575,0.99397,1.44952,0.000443125,0.000443125,0.000443125
47,18561.2,0.68276,0.48265,1.0527,0.79392,0.71967,0.80585,0.59514,1.0423,0.95795,1.4438,0.00043075,0.00043075,0.00043075
48,18903.3,0.66252,0.46696,1.04305,0.79316,0.74038,0.80029,0.58734,1.03809,0.93685,1.4423,0.000418375,0.000418375,0.000418375
49,19273.9,0.65632,0.4675,1.03617,0.76876,0.77319,0.81444,0.59994,1.02536,0.91383,1.41252,0.000406,0.000406,0.000406
50,19679.2,0.64655,0.45542,1.03394,0.79475,0.69713,0.79885,0.59217,1.02654,0.95328,1.42164,0.000393625,0.000393625,0.000393625
51,20135,0.63953,0.44252,1.02648,0.76065,0.70332,0.78402,0.57834,1.02293,0.94284,1.43594,0.00038125,0.00038125,0.00038125
52,20571.8,0.63563,0.44521,1.02528,0.79612,0.69811,0.79708,0.58943,1.02675,0.94968,1.4413,0.000368875,0.000368875,0.000368875
53,20864.5,0.62081,0.42769,1.01407,0.75552,0.72566,0.79663,0.58694,1.03822,0.95099,1.45291,0.0003565,0.0003565,0.0003565
54,21302.8,0.62586,0.43151,1.01797,0.78256,0.70581,0.78541,0.58351,1.0175,0.95475,1.4295,0.000344125,0.000344125,0.000344125
55,21738.9,0.61353,0.41904,1.00974,0.79139,0.72958,0.80996,0.60128,1.02101,0.9182,1.44457,0.00033175,0.00033175,0.00033175
56,22093.9,0.60456,0.42126,1.00482,0.77522,0.73404,0.79876,0.59516,1.00383,0.9112,1.42268,0.000319375,0.000319375,0.000319375
57,22427.2,0.59512,0.41431,1.00023,0.77039,0.74841,0.81226,0.60136,1.01994,0.88902,1.44542,0.000307,0.000307,0.000307
58,22760.5,0.58857,0.40825,0.99751,0.79645,0.71111,0.80884,0.60069,1.01152,0.91647,1.43974,0.000294625,0.000294625,0.000294625
59,23180.5,0.58315,0.40374,0.99405,0.76351,0.72233,0.80403,0.60001,1.00404,0.9232,1.41801,0.00028225,0.00028225,0.00028225
60,23636.3,0.56638,0.3903,0.98666,0.75339,0.76494,0.81248,0.60768,1.00226,0.90394,1.42357,0.000269875,0.000269875,0.000269875
61,23919.6,0.56144,0.38536,0.98209,0.80118,0.71681,0.8019,0.6043,0.99497,0.91965,1.4205,0.0002575,0.0002575,0.0002575
62,24253.6,0.55574,0.38622,0.97729,0.7702,0.74112,0.81154,0.60101,1.01234,0.92616,1.44547,0.000245125,0.000245125,0.000245125
63,24616,0.55207,0.38238,0.97421,0.76142,0.73433,0.80954,0.60119,1.01154,0.89961,1.45399,0.00023275,0.00023275,0.00023275
64,24981.5,0.54115,0.37471,0.96985,0.82517,0.69378,0.80629,0.60502,1.00657,0.90092,1.4609,0.000220375,0.000220375,0.000220375
65,25309.1,0.54381,0.37694,0.97217,0.78498,0.72769,0.80871,0.60565,1.01046,0.90863,1.45929,0.000208,0.000208,0.000208
66,25685.8,0.5322,0.36821,0.96577,0.8308,0.66952,0.80085,0.60028,0.99661,0.90381,1.44412,0.000195625,0.000195625,0.000195625
67,26036.4,0.52305,0.36579,0.96397,0.77135,0.71796,0.79823,0.5942,0.99904,0.92869,1.45604,0.00018325,0.00018325,0.00018325
68,26379.9,0.51224,0.36038,0.95724,0.79122,0.7204,0.80267,0.60365,1.00313,0.92695,1.46074,0.000170875,0.000170875,0.000170875
69,26684.8,0.5053,0.35647,0.95655,0.80991,0.70575,0.80035,0.60281,1.00028,0.9211,1.45027,0.0001585,0.0001585,0.0001585
70,27005.8,0.5126,0.35633,0.96044,0.77717,0.73234,0.80512,0.60491,1.00989,0.90148,1.45941,0.000146125,0.000146125,0.000146125
71,27345.8,0.42193,0.26149,0.89607,0.82635,0.70399,0.80694,0.60803,1.00905,0.90012,1.47204,0.00013375,0.00013375,0.00013375
72,27724,0.40764,0.25434,0.88828,0.79291,0.72322,0.80769,0.60582,1.0043,0.90841,1.4752,0.000121375,0.000121375,0.000121375
73,28014.3,0.4022,0.25313,0.88711,0.76758,0.73135,0.80269,0.60148,1.00611,0.91193,1.48396,0.000109,0.000109,0.000109
74,28287.8,0.39363,0.24847,0.88126,0.80961,0.70218,0.80468,0.60286,1.0121,0.9124,1.4967,9.6625e-05,9.6625e-05,9.6625e-05
75,28618.1,0.38922,0.24504,0.88239,0.79147,0.70504,0.80004,0.59612,1.01536,0.92103,1.49851,8.425e-05,8.425e-05,8.425e-05
76,28983.3,0.37746,0.24118,0.87635,0.81912,0.69876,0.8028,0.60288,1.0044,0.91722,1.49147,7.1875e-05,7.1875e-05,7.1875e-05
77,29270.4,0.38243,0.24131,0.8766,0.81057,0.71798,0.80912,0.60605,1.00072,0.9145,1.48567,5.95e-05,5.95e-05,5.95e-05
78,29645,0.37251,0.23739,0.87229,0.81541,0.72158,0.80665,0.60488,0.99759,0.90449,1.48163,4.7125e-05,4.7125e-05,4.7125e-05
79,30111.3,0.37015,0.23629,0.87313,0.81776,0.71004,0.80221,0.60336,0.99638,0.90889,1.4836,3.475e-05,3.475e-05,3.475e-05
80,30421.4,0.36938,0.2361,0.87156,0.8154,0.71731,0.80545,0.6065,0.99902,0.90761,1.48544,2.2375e-05,2.2375e-05,2.2375e-05
